# Column     -  Units  - Description
# IDcand     -         - Stream Candidate ID    
# CSS-SSS-ID -         - Catalina object ID         
# RAJ2000    -  deg    - J2000 right ascension      
# DEJ2000    -  deg    - J2000 declination      
# Rhel       -  kpc    - heliocentric distance     
# Rgal       -  kpc    - galactocentric distance (assuming Xsun=-8.5kpc)     
# Period     -  d      - Light curve period   
# AmpV       -  mag    - Light curve amplitude     
# FeH        -  dex    - Metallicity     
# flag       -         - FeH flag (0=metallicity from Drake+2013, 1=photometric metallicity computed in this paper)   
# pmRA       -  mas/yr - HSOY Proper motion in RA*cos(DE)        
# epmRA      -  mas/yr - pmRA error        
# pmDE       -  mas/yr - HSOY Proper motion in declination        
# epmDE      -  mas/yr - pmDE error        
# HSOY-ID    -         - HSOY object ID               
# IDcand   CSS-SSS-ID         RAJ2000     DEJ2000     Rhel    Rgal   Period    AmpV    FeH      flag   pmRA    epmRA   pmDE    epmDE   HSOY-ID
  04.5-1   J165107.7-185500   252.78216   -18.91671   12.09   4.56   0.60154   0.64    -1.34    0      -8.1    2.2     -6.3    2.2     4.8426375499386829E18   
  04.5-1   J203208.8-251433   308.03653   -25.24252   6.01    5.18   0.57042   0.78    -1.38    0      1.8     2.1     -0.5    2.1     5.0354848055937546E18   
  04.5-1   J204034.3-251227   310.14282   -25.20737   6.0     5.37   0.54851   0.77    -0.96    0      -1.6    2.1     -5.0    2.1     5.0362798660131287E18   
  04.5-1   J204750.0-271645   311.95815   -27.27923   6.11    5.47   0.66466   0.46    -1.19    0      1.3     2.7     -7.4    2.7     5.0313484201172142E18   
  04.5-1   J202002.4-292359   305.00997   -29.39977   6.08    4.8    0.50794   1.12    -1.16    0      2.8     2.1     -7.4    2.1     5.014405122247722E18    
  04.5-1   J201202.0-382348   303.00819   -38.39657   6.27    4.57   0.60643   0.62    -1.98    0      0.3     3.1     -2.9    3.1     4.9773047363866348E18   
  04.5-1   J200811.2-494437   302.04654   -49.74348   6.6     4.78   0.56483   0.57    -1.48    0      -9.3    3.1     -3.5    3.1     6.4066962028604928E18   
  04.5-1   J202829.6-513706   307.12318   -51.61829   6.54    5.2    0.54323   0.91    -1.02    0      -5.0    3.2     -4.2    3.2     6.4084649196466627E18   
  04.5-1   J195007.7-524640   297.53208   -52.77789   6.71    4.65   0.55244   0.84    -1.04    0      -6.1    3.2     -8.6    3.2     6.3990869001633341E18   
  04.5-1   J201822.1-531040   304.59227   -53.17785   6.62    5.11   0.61182   0.94    -1.85    0      -5.3    3.2     -12.2   3.2     6.4093464198747116E18   
  04.5-1   J202731.1-525740   306.87939   -52.96118   6.5     5.25   0.73614   0.65    -1.55    0      6.1     3.2     -6.6    3.2     6.410996102537472E18    
  04.5-1   J204016.4-540731   310.06852   -54.12531   6.57    5.49   0.58813   0.79    -1.38    0      -2.3    3.3     -11.7   3.3     6.4122027200581724E18   
  04.5-1   J181145.3-595703   272.93858   -59.95094   8.28    4.54   0.65306   0.87    -1.48    0      -2.6    3.2     -11.4   3.2     6.3641250931030743E18   
  04.5-1   J192110.7-601346   290.29475   -60.22958   7.31    4.91   0.65667   1.01    -1.76    0      -3.4    3.1     -3.8    3.1     6.376098245360343E18    
  04.5-1   J181039.0-612523   272.66261   -61.42315   8.31    4.74   0.58389   0.9     -1.34    0      -5.0    3.3     1.5     3.3     6.3649603812572979E18   
  04.5-1   J185236.4-604943   283.15187   -60.82861   7.68    4.77   0.84349   0.64    -1.5     0      7.4     3.1     -5.4    3.1     6.3737933355310561E18   
  04.5-1   J180756.7-632802   271.98638   -63.46721   8.45    5.06   0.59069   0.48    -0.99    0      -3.3    3.4     3.2     3.4     6.4132675803053588E18   
  04.5-1   J010813.1-163551   271.08851   -63.02373   8.44    4.98   0.50612   1.09    -1.46    0      -3.9    3.2     -13.0   3.2     6.3651055195480084E18   
  04.5-1   J175726.6-652615   269.36072   -65.43742   8.78    5.42   0.62438   1.01    -1.44    0      -4.5    3.3     -9.3    3.3     6.0291128092773847E18   
